Name,Precision,Recall,FScore,FeaturesWithoutRetrieved,InexistentFeaturesRetrieved
ACTIVITYDIAGRAM,0.01551481,0.292035398,0.029464286,SomethingRetrieved,
ACTIVITYDIAGRAM_and_LOGGING,0,0,0,NothingRetrieved,
ACTIVITYDIAGRAM_and_STATEDIAGRAM,0,0,0,NothingRetrieved,
COGNITIVE,0.097790315,0.695652174,0.17147568,SomethingRetrieved,
COGNITIVE_and_DEPLOYMENTDIAGRAM,0,0,0,NothingRetrieved,
COGNITIVE_and_LOGGING,0,0,0,NothingRetrieved,
COGNITIVE_and_SEQUENCEDIAGRAM,0,0,0,NothingRetrieved,
COLLABORATIONDIAGRAM,0.008932769,0.296875,0.017343679,SomethingRetrieved,
COLLABORATIONDIAGRAM_and_LOGGING,0,0,0,NothingRetrieved,
COLLABORATIONDIAGRAM_and_LOGGING_and_SEQUENCEDIAGRAM,0,0,0,NothingRetrieved,
COLLABORATIONDIAGRAM_and_SEQUENCEDIAGRAM,0,0,0,NothingRetrieved,
DEPLOYMENTDIAGRAM,0.009402915,0.476190476,0.018441678,SomethingRetrieved,
DEPLOYMENTDIAGRAM_and_LOGGING,0,0,0,NothingRetrieved,
DEPLOYMENTDIAGRAM_and_USECASEDIAGRAM,0,0,0,NothingRetrieved,
LOGGING,0,0,0,SomethingRetrieved,
LOGGING_and_SEQUENCEDIAGRAM,0,0,0,NothingRetrieved,
LOGGING_and_STATEDIAGRAM,0,0,0,NothingRetrieved,
LOGGING_and_USECASEDIAGRAM,0,0,0,NothingRetrieved,
not_COGNITIVE,0,0,0,NothingRetrieved,
not_LOGGING,0,0,0,NothingRetrieved,
SEQUENCEDIAGRAM,0.024447579,0.559139785,0.046846847,SomethingRetrieved,
SEQUENCEDIAGRAM_and_STATEDIAGRAM,0,0,0,NothingRetrieved,
STATEDIAGRAM,0.82278481,0.532786885,0.646766169,SomethingRetrieved,
USECASEDIAGRAM,0.017395393,0.560606061,0.03374373,SomethingRetrieved,
Average,0.041511191,0.142220241,0.040170086,16,1
